"sim","N","beta0","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11424-70",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0685203442799329,-0.011130661716396,0.00115970818460242,-0.0109570194849507,0.00112717348859373,-0.00313441091508233,0.00539355025679378,-0.0115262353250927,0.00151449029442719
"11424-71",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0685560805143657,-0.00993264117970204,0.00140314470002919,-0.00879991701227373,0.00136860409839261,-0.0109531082127303,0.00517516081115145,-0.00926875369277252,0.00188913604533032
"11424-72",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0685621251617355,-0.0121025295769214,0.0012373403454296,-0.0115585025964572,0.00122194316273579,-0.0151855666471736,0.00506802794589156,-0.00993269940912757,0.00152829250545439
"11424-73",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.068129242652751,-0.00873398941201529,0.00118152418245563,-0.00822847657673584,0.00114855604315875,-0.0148291211529271,0.00535586107836857,-0.00979194863068515,0.00144568290707193
"11424-74",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0681385450552359,-0.0102435520824911,0.00132448782172759,-0.00980264343505433,0.00130228948355725,-0.00896499378059341,0.00505202404666059,-0.0111995588514088,0.00148664234385796
"11424-75",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0680511685582571,-0.01208793199228,0.00131841515144714,-0.0112540571314082,0.00127990044216754,-0.0141851864034547,0.00453113601866196,-0.0120557069698012,0.00162585971907013
"11424-76",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0684501629682159,-0.00964063128816978,0.00138355514502086,-0.00913163281713676,0.00135323394725371,-0.00851226673395886,0.00521183556214657,-0.00850192655773785,0.00178925553493026
"11424-77",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0679582683223084,-0.00953326698715129,0.00136158203360115,-0.00870411973921933,0.00133647754119463,-0.0120337250651155,0.0076365393868195,-0.0124117160749681,0.00196051253257909
"11424-78",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0678525620368646,-0.0111939649169896,0.00136950123342226,-0.0105957179174879,0.00135079387569784,-0.0197878988645996,0.00455410679733183,-0.012041088340178,0.00201596633117059
"11424-79",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0681862957070152,-0.00852959675646625,0.00126270438165011,-0.00829603121504193,0.00122723012617194,-0.0116270291920394,0.00312738759555171,-0.007663148577468,0.00153217064955371
"11424-80",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0685174368247346,-0.0106110558434782,0.001324415175848,-0.00962960364737055,0.00129511937084008,-0.0132217322017437,0.00401076166635807,-0.0103251638156612,0.00178304718231117
"11424-81",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.06832489759522,-0.00673591513708852,0.00140687864489951,-0.00600960092283887,0.00138703511071108,-0.00722550626994307,0.00349857994264034,-0.00740113733660635,0.00173719429993824
"11424-82",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0686500446269741,-0.012573132514018,0.00144923736312953,-0.0117747690597503,0.0014036160242192,-0.00792284065063601,0.00522454981825606,-0.0126957497274117,0.00246495952511351
"11424-83",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0682499364159815,-0.0106823208929339,0.00139646197031665,-0.00979052519113592,0.0013545241665189,-0.00617451209485676,0.00535942829962189,-0.0106556625240754,0.00178746072987232
"11424-84",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0682954013049483,-0.00968407061151468,0.00132731242559747,-0.00939189929024464,0.00130926203441759,-0.00821920081480892,0.00377097213729804,-0.0101944854112706,0.00160129431441978
"11424-85",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0684976968131684,-0.0119299205517861,0.00131701394722839,-0.0116218946311788,0.00128970137963236,-0.00860938586753492,0.0057117113793931,-0.0136597999632035,0.00203207779674213
"11424-86",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0685513422743801,-0.00962458721279786,0.00120509649713594,-0.00926279103265621,0.00119910021871495,-0.0131609685907514,0.00363498331813229,-0.00747957829893986,0.00130691360708935
"11424-87",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0684970000716053,-0.00971335258970264,0.00128771195258189,-0.0094929551195443,0.00125320078894035,-0.00804452533556547,0.00433480813905249,-0.00941123034321278,0.00183600612636989
"11424-88",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0680927172450956,-0.00956503710879866,0.00139795678254433,-0.00904946821606886,0.00135085339555226,-0.0109137450826571,0.00311705592673879,-0.00834089265192461,0.00154896160165119
"11424-89",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0682035304939232,-0.00894408540906736,0.00133230825127092,-0.00839890857806438,0.00131023400652956,-0.0141434209685324,0.00407947772143687,-0.00823383353022021,0.0017387263966104
"11424-90",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0685392389254252,-0.0103226084683345,0.00130741607218185,-0.00942523913770367,0.00126952435255544,-0.0133055856751383,0.0044225120015632,-0.0110096566814402,0.00195512044954104
"11424-91",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0685234018758206,-0.00950107857733276,0.00144954156869234,-0.00925074394989619,0.00143398252001619,-0.0156319613402042,0.00421635192590578,-0.00938974510399534,0.00199971383104697
"11424-92",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0685044690565283,-0.0104261623422757,0.00133772597879511,-0.00944565102874474,0.00129753795460924,-0.0115045076082919,0.00613667470947718,-0.0110330991027876,0.00178095252209959
"11424-93",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0682006544308958,-0.0117591850535712,0.00132139645120656,-0.0115850005557908,0.00129745402870051,-0.0115410170376247,0.00387703781401026,-0.0114805641235571,0.00147380961092407
"11424-94",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0682633716901036,-0.00877167575517474,0.00121565370725357,-0.00846843869503836,0.00119897722700363,-0.00306184667635319,0.00383257720783476,-0.00802465313884538,0.00180766846401348
"11424-95",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0685005067134117,-0.0100068379055529,0.0013528259145127,-0.00971845929908458,0.00132857520928953,-0.00268179095393473,0.00370711250209864,-0.00882034862587982,0.00167421680917092
"11424-96",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0685121262178293,-0.0110108272454685,0.00138226663892448,-0.00998351937119581,0.001326705643883,-0.0210619407074563,0.00452758084723601,-0.0121213212944932,0.00218916593957092
"11424-97",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0685165124943689,-0.0111348468487484,0.00124831961503763,-0.0104799157055445,0.00120492143800406,-0.0073300512998008,0.0062679855286081,-0.0116376701964256,0.00161613973612866
"11424-98",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.068730091600663,-0.00915423687360089,0.00139743196483018,-0.00832307748050904,0.00136294690577723,-0.00876351391267225,0.00486425220548205,-0.00923132750362264,0.00197095253545221
"11424-99",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0682944687778535,-0.0103883242542023,0.00126813332537395,-0.0101602485522857,0.00124897909647588,-0.00851790893921787,0.00306502518491723,-0.0103059561334068,0.00181887174751132
"11424-100",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0680832747264491,-0.0111334627098539,0.00121145200517249,-0.0110502962924295,0.0011983959502039,-0.00898531461701735,0.00521802283554993,-0.0116753678579585,0.00168180226724219
