"TractFIPS","CountyName","POP","BPHIGH","CHD","DIABETES","OBESITY"
37157041200,"Rockingham",5282,2377,423,893,2277
37157041300,"Rockingham",6737,2817,566,1051,2749
37157041400,"Rockingham",2991,1272,255,467,1218
37157041500,"Rockingham",6942,2805,591,917,2416
37157041601,"Rockingham",3513,1230,243,380,1188
37157041602,"Rockingham",4614,1592,310,490,1569
37169070100,"Stokes",6720,2299,478,713,2460
37169070200,"Stokes",3660,1285,279,399,1318
37169070300,"Stokes",4732,1770,384,573,1784
37169070400,"Stokes",5337,1890,411,609,2029
37169070501,"Stokes",6884,2541,586,813,2479
37169070503,"Stokes",5850,1855,363,539,1978
37169070504,"Stokes",3394,1100,225,340,1246
37169070600,"Stokes",5143,1759,366,535,1842
37169070700,"Stokes",5681,2307,506,796,2244
37171930101,"Surry",2093,748,160,243,691
37171930102,"Surry",4783,1703,369,551,1584
37171930201,"Surry",3543,1315,287,443,1209
37171930202,"Surry",3332,1337,330,467,1143
37171930301,"Surry",2042,805,170,256,621
37171930302,"Surry",3630,1380,316,454,1158
37171930400,"Surry",2576,1111,281,418,933
37171930501,"Surry",2891,978,209,295,862
37171930502,"Surry",3338,1409,341,508,1162
37171930600,"Surry",3496,1238,263,389,1091
37171930700,"Surry",4355,1529,327,488,1403
37171930801,"Surry",5201,1883,417,625,1748
37171930802,"Surry",3176,1204,277,401,1052
37171930901,"Surry",4467,1769,425,590,1430
37171930902,"Surry",1605,562,116,169,466
37171931001,"Surry",2540,846,176,272,839
37171931002,"Surry",5216,1743,371,574,1690
37171931003,"Surry",3234,1171,259,421,1162
37171931101,"Surry",2870,1034,230,345,962
37171931102,"Surry",3728,1290,273,399,1193
37171931103,"Surry",1846,674,146,220,608
37171931200,"Surry",3711,1310,275,405,1136
37197050101,"Yadkin",5600,1955,409,616,1882
37197050102,"Yadkin",4066,1444,310,460,1371
37197050200,"Yadkin",4528,1676,367,548,1535
37197050300,"Yadkin",5964,2338,537,806,2130
37197050400,"Yadkin",6729,2403,532,801,2329
37197050501,"Yadkin",7130,2517,542,799,2318
37197050502,"Yadkin",4389,1559,334,492,1431
