"sim","N","beta0","beta1","muW","sigmaW","q","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-640",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.1133967942855,-2.20300256608064,0.00340634674639012,0.0106074915468622,0.000983681597480298,-2.201942600484,0.00336443362527006,0.0144964603152908,0.00136764729932218,-2.21502402275491,0.0118302128938852,0.013032865237237,0.00353172419132062,-2.20444174614994,0.0043035864908731,0.0109481560203922,0.00130480131714769
"11422-641",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113846053686832,-2.19780891653112,0.00324704694570787,0.00947684462731187,0.000837013709117987,-2.19743994466401,0.00323649753097575,0.0133281705579912,0.00118664273868739,-2.19750327217864,0.0108271998316611,0.0081138112461561,0.00216711723389368,-2.19650211197302,0.00432217615345015,0.00875084892388656,0.00117742280813392
"11422-642",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.114037884066395,-2.19591934780078,0.0033859377774671,0.00960670339434995,0.000935056998193176,-2.1953552432489,0.00339462253662881,0.0134040404698634,0.00134223415844214,-2.19307797250579,0.0106646349592504,0.0108946974888013,0.00357106155641007,-2.19710261799914,0.00397915372002958,0.00980736632706295,0.00115311599145637
"11422-643",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113878984965596,-2.20176253523847,0.00334790732385655,0.0114495749559422,0.000921911402683671,-2.20068780570501,0.00332483779979224,0.0158087309982462,0.00130376931742764,-2.18990089410409,0.011397139064082,0.0115804333120678,0.00341789997581345,-2.19914808377949,0.00365947400057507,0.0103714392497936,0.0010194239177498
"11422-644",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.114014254044092,-2.19699828069288,0.00340279013900982,0.0095334487277196,0.000904653749469275,-2.19610186318267,0.00337652711956369,0.0130720213880292,0.00126645398628994,-2.19661967955876,0.0105573386762706,0.00996920932878879,0.00298928723592955,-2.1952609926474,0.00396657145853928,0.00902641616671151,0.00112098411539577
"11422-645",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113792598770399,-2.19919252080413,0.00335683286269393,0.0104805201578584,0.000960943321121359,-2.19922675000881,0.00336615380633512,0.0151873637698751,0.00139842538136073,-2.18992490689275,0.0106689575594197,0.0102353540834095,0.0025182299707229,-2.19787538718085,0.00360383141703792,0.0096114140949577,0.00102080530463365
"11422-646",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.114293871479731,-2.19630103568949,0.00324070002702083,0.0105950463609887,0.000853503725842445,-2.19352628841883,0.00318285666060741,0.0136544233296972,0.00117843366149343,-2.20218568064396,0.0104343970615751,0.0160939206691088,0.00290402870256843,-2.1926651269818,0.00377805657336446,0.00903874980146754,0.000948462583064172
"11422-647",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113161301358518,-2.20344437054949,0.0034887129092738,0.010766415502045,0.00111564141182029,-2.20287841308526,0.00347001532090092,0.0151260382665923,0.00158856505698582,-2.20225822002751,0.0115177599980593,0.00992404824594736,0.00310018023659542,-2.20438209051995,0.00460485442805954,0.0114961337509012,0.00170107168503111
"11422-648",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113666324191084,-2.1988700447126,0.00331504723291317,0.00910682602101377,0.000861416178007975,-2.19726459376913,0.00323327791173347,0.0120822579587001,0.00116125246533682,-2.20249577892374,0.0113212455715252,0.0125139877429264,0.003800810562358,-2.20190358994661,0.00408373864293193,0.0105627346922136,0.00110512895332645
"11422-649",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113740254837224,-2.19819480609441,0.00325441869196577,0.0101621675974072,0.000927502051218376,-2.1974053947084,0.00324416899825688,0.0141807193156646,0.00132925821516695,-2.18693583850252,0.0100091606015045,0.00956523301320512,0.00268246311042759,-2.19711834693217,0.00402991879065388,0.00969187835348099,0.0012914877876297
