"sim","N","beta1","maxW","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11424-54",340,0.00995033085316809,2,0.1,0.0718635844949582,0.00907015401461396,0.00126783426886989,0.0056694856757076,0.0007867569116489,0.0108533262465667,0.00502204129010217,0.009810925980268,0.00150347248428827
"11424-55",340,0.00995033085316809,2,0.1,0.0721637074491085,0.00842934586001001,0.00104514484001247,0.00567997852400149,0.00071787912227616,0.00656296245662134,0.00344840282596986,0.00802466741922024,0.0014737018806017
"11424-56",340,0.00995033085316809,2,0.1,0.0717464395854205,0.00902149055877628,0.00129750656792193,0.00566877010555063,0.000836118194063848,0.0130118426291525,0.0043494190780935,0.00881872048535324,0.00189471810185079
"11424-57",340,0.00995033085316809,2,0.1,0.0714554501874227,0.00921851464042511,0.00118145663461517,0.00602627529770969,0.000775133544668892,0.00882645640757707,0.00333315787163707,0.00887657379215685,0.00207449705188735
"11424-58",340,0.00995033085316809,2,0.1,0.0714934713902142,0.0101545895051227,0.00116322876020641,0.00605570005907366,0.000770957907115497,0.00307140090954605,0.00372808419927985,0.00901142527469605,0.00167467611859688
"11424-59",340,0.00995033085316809,2,0.1,0.0716509224772401,0.0100256232623626,0.00134179689134937,0.00596246125293914,0.000858218003225432,0.00704160507765059,0.00422127320263223,0.00837165011657947,0.00248728702073933
"11424-60",340,0.00995033085316809,2,0.1,0.0717379406136813,0.00900002022499405,0.00127836920485082,0.0059272801428177,0.000849061454932383,0.0101429373089579,0.00370628506099623,0.00748610042990889,0.0019718886402533
"11424-61",340,0.00995033085316809,2,0.1,0.0719008860899315,0.0111263943782402,0.00140248838782794,0.00711280685368123,0.000892962146533544,0.0108220445274751,0.00412367525237277,0.0100827132105059,0.00159808844135329
"11424-62",340,0.00995033085316809,2,0.1,0.07169180445679,0.00927058288476254,0.00120203075331198,0.00579011799485814,0.000789787477444558,0.0056548381699391,0.00303374855902175,0.00668390299956268,0.00140907381577786
"11424-63",340,0.00995033085316809,2,0.1,0.0714232221517655,0.00742589160849546,0.00140191752706053,0.00449283628985315,0.000889376131025971,0.00653758623060455,0.00521148395855995,0.00656722901814354,0.00291401403216844
"11424-64",340,0.00995033085316809,2,0.1,0.0719128639547612,0.00868480712657407,0.00124978898578989,0.00516366075456492,0.000804222992346735,0.00553273767827489,0.00463188241117784,0.00933846547009197,0.00153270954561565
"11424-65",340,0.00995033085316809,2,0.1,0.0718434159822854,0.0119903537277705,0.00125341527734481,0.00752505336618233,0.000826697798027389,0.0121653127497581,0.00386787263430432,0.0143126200786366,0.0020234849635997
"11424-66",340,0.00995033085316809,2,0.1,0.0718662242639101,0.00831706850353455,0.00117153081172352,0.00577612393938109,0.000821695906240698,-0.000727343834037173,0.00736930923468549,0.0097501545729512,0.00210540045078095
"11424-67",340,0.00995033085316809,2,0.1,0.0718559005468522,0.010378365088871,0.00129705804603836,0.00642352581667858,0.00084053823659693,0.0143207050131873,0.00409782556336639,0.0112916954756226,0.00210709508486954
"11424-68",340,0.00995033085316809,2,0.1,0.0716152470836807,0.0104399695785438,0.00136298938291173,0.00668765574664253,0.000915608726149405,0.00126207384364658,0.00612637160867033,0.0112262684389955,0.00181360198422959
"11424-69",340,0.00995033085316809,2,0.1,0.0719979221798364,0.012378047774715,0.00125700832663976,0.00721291566063241,0.000774966540576819,0.015552376480719,0.00504912087768421,0.0136044811956322,0.00210844913118933
"11424-70",340,0.00995033085316809,2,0.1,0.0715545957404254,0.0084471148117316,0.00136165032368968,0.00528615233139799,0.000860731533891316,0.0141849175410829,0.00550640178959422,0.00946594863459465,0.00184582461168734
"11424-71",340,0.00995033085316809,2,0.1,0.0714016193309724,0.00965709736137128,0.00124468224341754,0.00585559452533775,0.000775665190558819,0.000723023215312304,0.00493407542376567,0.00814932203037525,0.00146077012845213
"11424-72",340,0.00995033085316809,2,0.1,0.0718099558040286,0.0098759800855997,0.0013328725274802,0.00632573073405369,0.000861867797657655,0.0157830352770957,0.00596725723466232,0.0112951213263585,0.0015351356208214
"11424-73",340,0.00995033085316809,2,0.1,0.0718315995096289,0.00964947461416145,0.00117486265618088,0.00589680566454554,0.00074428274400235,0.0120157418240386,0.0045076248284117,0.0100223544040979,0.00133906769191378
"11424-74",340,0.00995033085316809,2,0.1,0.0714589064265958,0.00976393184252481,0.00134051082165688,0.00587957530104683,0.000860836166909945,0.0117855935354587,0.00529111470323012,0.0104150331654967,0.00177492289011475
"11424-75",340,0.00995033085316809,2,0.1,0.0718365209619568,0.00996296746926222,0.00128465103953454,0.00631736439038888,0.000790122909393131,0.0149802654828684,0.00475038037277839,0.00875763157771419,0.0017006026310834
"11424-76",340,0.00995033085316809,2,0.1,0.071617714354804,0.00803837787730744,0.00132455875371172,0.00465143472802054,0.000836183099820835,0.00962620240293474,0.00608377852542293,0.00686388817674602,0.00139448948445966
"11424-77",340,0.00995033085316809,2,0.1,0.0718056358906672,0.0102889092253597,0.001349872627603,0.00569662068463625,0.000831880687230174,0.00665707651220821,0.00360019362114156,0.00978638873834477,0.00234295913850185
"11424-78",340,0.00995033085316809,2,0.1,0.0718681147481029,0.0119051711630787,0.0011572215882071,0.00741185674632859,0.000764003512248035,0.0110535469685698,0.00300641703785708,0.0109833973591782,0.00261359660134808
"11424-79",340,0.00995033085316809,2,0.1,0.0722321116986139,0.00830980716573894,0.00123038529596854,0.00523766888081642,0.000785793640751846,0.00515520700956614,0.00359676194706581,0.00847889067673462,0.00157160680929116
"11424-80",340,0.00995033085316809,2,0.1,0.0719088064099757,0.00881813699069304,0.00128253424599716,0.00554268927025156,0.000866552910075275,0.0103823198566439,0.00419007890308217,0.00921367751692499,0.00222131535249193
"11424-81",340,0.00995033085316809,2,0.1,0.0720053635849557,0.00917268808931499,0.00109027137567702,0.00576072921804865,0.00068721867211201,0.00865924777144321,0.0033491631053056,0.00966779908028692,0.00153222098211237
"11424-82",340,0.00995033085316809,2,0.1,0.0718420547226419,0.00848618227826353,0.00132583801694383,0.00536141955963789,0.00085189833317493,0.00936257575703149,0.00375730061205477,0.00910442300454665,0.00262566031918987
"11424-83",340,0.00995033085316809,2,0.1,0.0721233664176761,0.00785232954739081,0.00130901298708733,0.004722629094753,0.000822430266709607,0.00604698279848152,0.0041511246352311,0.00827712673919228,0.00235606816321584
"11424-84",340,0.00995033085316809,2,0.1,0.0720253401387497,0.00740351709732446,0.00113985637201592,0.00422973788553159,0.000711222516382001,0.00968806130148821,0.00361272515992182,0.0061285618270942,0.00119399519448306
"11424-85",340,0.00995033085316809,2,0.1,0.0717937726925276,0.00858277095229222,0.00134959143095793,0.00572880616013229,0.000924797966599865,0.0103832515490072,0.0067205868139269,0.0102105564361163,0.00202629673261222
"11424-86",340,0.00995033085316809,2,0.1,0.0714524558646423,0.00864140044304117,0.00123547684614566,0.00501359410244831,0.00077361565919113,-0.0016271798295322,0.00388893292942187,0.0075101832561406,0.00187614392278596
"11424-87",340,0.00995033085316809,2,0.1,0.0720629530399232,0.00937503405643455,0.00111629387808421,0.00576458418747014,0.000715867561445099,0.0133482530996414,0.0032327323082768,0.00825424955909518,0.00163697036834311
"11424-88",340,0.00995033085316809,2,0.1,0.0715994102146881,0.0101526873413834,0.0014098996054298,0.00629767669747766,0.000900729052721839,0.00988694856176476,0.006118367427979,0.0120223702364272,0.00175400311992302
"11424-89",340,0.00995033085316809,2,0.1,0.071983954336275,0.0120597304083678,0.00126812671946371,0.00782166615330789,0.000843026876331139,0.00747767072665829,0.00703301682458722,0.0123440035569728,0.00162195289596945
"11424-90",340,0.00995033085316809,2,0.1,0.071777093081653,0.0110119476346888,0.00130270850321679,0.00706849044897398,0.000863855806279691,0.0121062039661928,0.004521924399077,0.0134175205957893,0.00217192258461539
"11424-91",340,0.00995033085316809,2,0.1,0.0717025038948715,0.00879287510726554,0.00117559569848136,0.0052802876904305,0.000770404141783383,0.0125742193368011,0.0046218910972335,0.0103773224566857,0.00161716638641929
"11424-92",340,0.00995033085316809,2,0.1,0.0715433919582465,0.00879508477437339,0.00145933695763678,0.00531346751451192,0.000914907465651071,0.0184382218577853,0.00530875778831859,0.0120196634638422,0.00268774212590391
"11424-93",340,0.00995033085316809,2,0.1,0.0719842390482022,0.0104233147028181,0.00114644914920971,0.00657519149888966,0.00072110303141977,0.016774705234699,0.00320673943191657,0.0109621204352471,0.00185630262879305
"11424-94",340,0.00995033085316809,2,0.1,0.0719078346687657,0.00818153732834705,0.001244392975929,0.00511806188519703,0.000797774356191804,0.011739714508447,0.00374364617854013,0.00886230096452648,0.00180940221882545
"11424-95",340,0.00995033085316809,2,0.1,0.0715831193333953,0.00969388414336571,0.00147294384617842,0.00580592206856409,0.000893550119631978,0.00484802103725738,0.0042620687298892,0.00804828408022829,0.00189999026338131
"11424-96",340,0.00995033085316809,2,0.1,0.0715616746210299,0.0100296332171581,0.00118447174800673,0.00677188200737165,0.000802759193074023,0.00764686819650736,0.00338169044212376,0.00842979317150287,0.00150127290457552
"11424-97",340,0.00995033085316809,2,0.1,0.0721298533895429,0.010983306771722,0.00120173499563468,0.00652994115376405,0.000759083167720767,0.00656128639929893,0.00481210124004336,0.0097336274823435,0.00163986747109649
"11424-98",340,0.00995033085316809,2,0.1,0.0721253148683295,0.00923159554995031,0.00126493243704355,0.00569942230998732,0.000838113190130121,0.0109521337269809,0.00408349046851544,0.00902313404607321,0.00175411006888262
"11424-99",340,0.00995033085316809,2,0.1,0.0721959073985298,0.0111111782403528,0.0012810203847591,0.00700931492957159,0.000840836310745452,0.00642364701021728,0.00466364551594361,0.0126483849691188,0.00242985636902005
"11424-100",340,0.00995033085316809,2,0.1,0.0714299090595802,0.00863299075599532,0.00108755728104339,0.00549313237322499,0.000720808930287904,0.00579641713241727,0.00308267384390152,0.00698215147087912,0.00125563102159673
