"sim","N","beta1","maxW","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11427-64",340,0.00995033085316809,1.25,0.1,0.0716112363255209,0.00994467974569183,0.00131497722186399,0.00886784113497334,0.00116497637962748,0.00754209337533113,0.00405735802517129,0.00971844397492683,0.00145492922520687
"11427-65",340,0.00995033085316809,1.25,0.1,0.0716454320475589,0.00909374522411855,0.00128116746085327,0.00798206098302944,0.00112548111178111,0.00990003958361707,0.00538731092454787,0.00904283440405323,0.00137193531409618
"11427-66",340,0.00995033085316809,1.25,0.1,0.0716132695877002,0.0100177128023075,0.00138156193094432,0.00877104338520847,0.00121915476334449,0.00686278424391893,0.00314935096840805,0.00976555919326671,0.00138488685946712
"11427-67",340,0.00995033085316809,1.25,0.1,0.0719429097506011,0.0106497310467413,0.00123180764852306,0.00937897894459641,0.0010957490623592,0.00990117120259558,0.00376818062904986,0.0104985847120162,0.00127783723156095
"11427-68",340,0.00995033085316809,1.25,0.1,0.071550419667741,0.0085821889488699,0.00132774690013855,0.00772512270965749,0.00117121897271711,0.0047439668493616,0.00312908088266107,0.00824579955695951,0.00144672932340035
"11427-69",340,0.00995033085316809,1.25,0.1,0.071972859198083,0.0115441553741067,0.00127490915175152,0.0102227405193583,0.00111324574588341,0.0102771468080982,0.00369664345553825,0.0114150275120481,0.00138269975577545
"11427-70",340,0.00995033085316809,1.25,0.1,0.0719398961015301,0.0082532064051146,0.00132744307338972,0.00711673912876789,0.00117144722740086,0.00706817236809224,0.00438840848938683,0.00807182923876208,0.00138550852401651
"11427-71",340,0.00995033085316809,1.25,0.1,0.0716914406320807,0.00825178123224937,0.00134559756451574,0.00738456794103964,0.00120430236735434,0.0106360811208088,0.00546557634105402,0.00838461506483518,0.00143379505000003
"11427-72",340,0.00995033085316809,1.25,0.1,0.0721084401827099,0.0109719598978629,0.00114630629118179,0.00979879579533562,0.00102166285932835,0.0129431593246832,0.00344654668466134,0.0104638001934422,0.00114166376990078
"11427-73",340,0.00995033085316809,1.25,0.1,0.07215803030228,0.00927443895985505,0.00117188788121104,0.00796432167296177,0.00101337670518545,0.0134436303691766,0.00471983303000481,0.00872014945842661,0.00119282343578336
"11427-74",340,0.00995033085316809,1.25,0.1,0.0712217195017832,0.00760404460421311,0.0013062236982353,0.00648828255208663,0.0011213888256975,0.0102194889848404,0.00433968798863647,0.00776333708342949,0.00139139906914537
"11427-75",340,0.00995033085316809,1.25,0.1,0.0721409599208437,0.0121268322230362,0.00132985354061128,0.0105876535347771,0.00117198833012271,0.0101647269733055,0.0029689182880376,0.0115862263245743,0.00134253315853897
"11427-76",340,0.00995033085316809,1.25,0.1,0.0715084713611319,0.0120385825740368,0.00128385657479398,0.0106503573502829,0.00114560759809662,0.0160476083234522,0.00377185297873087,0.0116570069284281,0.00133306520410727
"11427-77",340,0.00995033085316809,1.25,0.1,0.0720467643912685,0.00926237245313976,0.00112215046411312,0.00832040232062995,0.000998661047567721,0.0152009333455813,0.00395725944917573,0.00915764876282559,0.00123532075474211
