"sim","N","beta0","beta1","muU","sigmaU","q","tau","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11424-30",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.113818816857041,-2.20191311705467,0.00866479408736126,0.00935637759422828,0.0024822725064034,-2.19792779766628,0.00781236799619771,0.0106182023724121,0.0026116689424068,-2.21640361509032,0.0273852567644318,0.0049865936221192,0.00683201741875133,-2.20456056092189,0.0112425339531672,0.00980571093129247,0.00359668070655463
"11424-31",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.113730309040954,-2.1975335828537,0.0101784137370668,0.00664483652314579,0.00273625448403571,-2.19344908384897,0.00922605985547984,0.00689558947310939,0.00292055218091163,-2.20878591931857,0.0312561977459773,0.013599445319924,0.00956175246846454,-2.20089104031574,0.0126743421180903,0.00787244720939666,0.00406426485195781
"11424-32",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.115448483667449,-2.20126419425166,0.00962887707502586,0.0138737498565134,0.00301500698241864,-2.19212148152263,0.00845477076656172,0.0137791215496133,0.00319658963367822,-2.17062650401749,0.0356487287105141,0.00959247476563279,0.00752583758962187,-2.20214583500574,0.0121701870458919,0.0142645250356399,0.00425238827815566
"11424-33",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.11446284629388,-2.20072988110832,0.0103885668921149,0.00942075996292171,0.00232418962985196,-2.19750022457582,0.00982212725403526,0.0108099539142775,0.00248990298744903,-2.24644111110155,0.0238640572699018,0.0228127711352295,0.00587587475034662,-2.20328656176502,0.0118272192237255,0.0100902473417899,0.00297708515981889
"11424-34",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.113713418730541,-2.21028650216542,0.00893305681596993,0.0118449729904982,0.00268945534833074,-2.20534718393451,0.00800384215796176,0.0132527809375729,0.00290703176264967,-2.21820245495045,0.0313522777615753,0.0101411721887014,0.00881448594315056,-2.20220380017485,0.0125035905486008,0.00878822395870058,0.00465262064989477
"11424-35",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114759368496356,-2.18747821815217,0.00996116862522919,0.00613502361621268,0.00310006658820038,-2.18257816200805,0.0089392011273463,0.00544850804840473,0.00328378273265905,-2.14911959137187,0.0257283039491043,-0.00330332225539512,0.00681085019361169,-2.19184751476777,0.0117245324210319,0.00769576568389427,0.00402189424434231
"11424-36",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.113675410831008,-2.21178970632399,0.00924941792971148,0.0112296640108006,0.00261411345146475,-2.20654974115423,0.00814812896821725,0.0126748106121052,0.0027825049269015,-2.20632039179232,0.0286206693821759,0.0159346365309116,0.00688443436775515,-2.22229945641383,0.0138756001531035,0.0147645296180004,0.00459614363398102
"11424-37",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114218199065945,-2.20387180250568,0.00911407218396404,0.0111886116331663,0.00262772221639512,-2.19729669739876,0.00825642113601564,0.0114181078747685,0.002805933552046,-2.1954769143864,0.0321123620195084,-0.000353711597278482,0.0094346493728956,-2.19901284324937,0.0117825233620299,0.00849996377530099,0.00369979767661487
"11424-38",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114662662402237,-2.2025813756991,0.0104684275912378,0.0127414311364988,0.00286516136888659,-2.19668504695019,0.00959906121958074,0.0140077530928939,0.00308064759425466,-2.18738082009901,0.0302345014744705,0.00511915159449412,0.010127548324691,-2.20072224773739,0.0126857495331619,0.0113899423488183,0.00400144740006252
"11424-39",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114847618151842,-2.18464327307007,0.00808776590123104,0.00573680410957916,0.00256491660567297,-2.18258818964705,0.00725914495930711,0.00663778749936374,0.00278964107410929,-2.17352499530599,0.0274447664572823,0.00679771843654196,0.00863915307615609,-2.18807406785219,0.0100973509587805,0.00723502696747575,0.00356592701763951
