"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-52",387,-1.1,-0.01,-0.7,0.8,0.1,0.325685197842981,-1.09770834868618,0.00202927044096898,-0.0101278112763227,0.000628899206591946,-1.10895315436877,0.00160896382635733,-0.0094628774605917,0.000608558711099109,-1.09657455469012,0.00602114869927602,-0.0114277701535357,0.00213330931062785,-1.09540627675593,0.00298077185239346,-0.0108855400239189,0.000992608068440823
"11422-53",387,-1.1,-0.01,-0.7,0.8,0.1,0.325637678621274,-1.09951741791591,0.0020587504271952,-0.00936269085709653,0.000638871917541833,-1.11018356615891,0.00162257569899933,-0.00858643913347453,0.000617884822167796,-1.0891479054788,0.00660504908622681,-0.0121680467069698,0.00203193114047713,-1.09763281936886,0.0040907903820335,-0.00916753996936321,0.00131361382098294
"11422-54",387,-1.1,-0.01,-0.7,0.8,0.1,0.325544475571555,-1.09937036035242,0.00201014607538247,-0.00989322603755127,0.000633274940239632,-1.10991736666048,0.00160366786399479,-0.00930001718150854,0.000610593941105945,-1.10879862828071,0.00586674332121603,-0.00832484501629432,0.00193154567367142,-1.0988102378945,0.00321744278670219,-0.00970849665915342,0.00115458072474722
"11422-55",387,-1.1,-0.01,-0.7,0.8,0.1,0.324796087276114,-1.09774092811241,0.00197106942049187,-0.0103611092823871,0.000545315444350558,-1.10963121182172,0.00160906672519659,-0.00940297294342282,0.000516807345301953,-1.09332235437762,0.0063420900304875,-0.0120919121890924,0.00159916772058159,-1.09892063063611,0.00381404388734468,-0.00963232824930019,0.000983965880002867
"11422-56",387,-1.1,-0.01,-0.7,0.8,0.1,0.32353405526497,-1.10235339181664,0.00198705299337535,-0.0101439922592916,0.000557221129286648,-1.11333831039158,0.00163109583450409,-0.00951592700702407,0.000542610610900706,-1.10407225375154,0.00627153652437906,-0.00996850841643564,0.00159078507508118,-1.10317399084753,0.00260327931345373,-0.0100256167398879,0.000798150779245705
"11422-57",387,-1.1,-0.01,-0.7,0.8,0.1,0.325038443506164,-1.09948530923816,0.00196551304138675,-0.0100121944316409,0.000577193097805629,-1.11009580369537,0.0015990187817585,-0.00943805303899528,0.000550726150006419,-1.09099810477713,0.00635155762750532,-0.0113830996845879,0.0017298784098065,-1.10041013304476,0.00248335015520179,-0.00985805900944972,0.000772782507128693
"11422-58",387,-1.1,-0.01,-0.7,0.8,0.1,0.32484861469124,-1.09852284127944,0.0019228807367028,-0.0100849963403427,0.000524636991587626,-1.10898540726245,0.0016074974547955,-0.00964209830096813,0.000514136652410593,-1.10039318046909,0.00725823427948066,-0.00939984070483133,0.0023951932562171,-1.0986344246858,0.00236828311501579,-0.0103467299476891,0.000734267612829528
"11422-59",387,-1.1,-0.01,-0.7,0.8,0.1,0.324560479711893,-1.09772357015788,0.00197791017619648,-0.0106080848048611,0.000547021710442777,-1.10981987243636,0.00161496795512607,-0.00978378762101503,0.000526594005998829,-1.0983217196905,0.0060009899508706,-0.00985437574079006,0.00146333287178999,-1.09774950445295,0.00316126848239257,-0.0106929393004969,0.00088890530488973
"11422-60",387,-1.1,-0.01,-0.7,0.8,0.1,0.32516034441214,-1.09719795739442,0.00194341667489172,-0.00993610767732117,0.000519825891282861,-1.10792077840894,0.00161267039543341,-0.00931627604866803,0.000497791408922677,-1.09058574512616,0.00625595275262485,-0.0109594816843026,0.00164451987830066,-1.09646358618206,0.00274898591836168,-0.00987616853549234,0.000714351667115452
"11422-61",387,-1.1,-0.01,-0.7,0.8,0.1,0.325539298988403,-1.09896627588071,0.00191488774625142,-0.00938701592126051,0.000536864069001101,-1.10869685723177,0.00159358085356448,-0.00881726179776197,0.000515499764812909,-1.10752100970992,0.00614685241436931,-0.00897111012782103,0.00175303928601816,-1.09775885984326,0.00290954602628577,-0.0102717423140156,0.00092680556276428
