"sim","N","beta0","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11427-52",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.113217614220805,0.0101975977862343,0.000905101293961868,0.00982895337508001,0.000880731266615219,0.0107232745094353,0.00253114863810214,0.0101849084078629,0.0011898962738377
"11427-53",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112661891614995,0.00969504052226365,0.000951068656750972,0.00925954393807093,0.00093002344248099,0.00945695889776123,0.00325474395822334,0.00944981275077797,0.00115472777812708
"11427-54",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112311949870983,0.00969497024175173,0.00096877789015378,0.00963234027671062,0.000958128888030126,0.00778840327845868,0.00272244104922096,0.00954735487510398,0.00122180991219296
"11427-55",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112924053111541,0.00926686980633118,0.000930654545177141,0.00878533881613452,0.00090482614271386,0.00724627714166823,0.00241664483451621,0.00886530525697715,0.00142639040109772
"11427-56",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112625764238722,0.00833689591104245,0.00104970811881818,0.00801799911078982,0.00102816989035651,0.0103387538623381,0.00321929670805475,0.00856406807438872,0.00146238036887459
"11427-57",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112309109816436,0.0108507970261324,0.000941218643858128,0.0108076978766224,0.000935826481049529,0.0134077590532186,0.00311477787162062,0.0110433029627174,0.00122567992972248
"11427-58",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112806467148788,0.0092024417984038,0.000968326748479936,0.00916220576982273,0.000940661327724954,0.00964573882007638,0.00380842999361505,0.00977962353557458,0.00117613730790022
"11427-59",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112832787380558,0.0100994801562701,0.000995563131596815,0.00966260124904089,0.000966481980027304,0.00807240770735445,0.00380930933945372,0.0102863820966354,0.0011814964161547
"11427-60",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.11335786373102,0.0101380175870457,0.00082687632933027,0.00993984407009717,0.000809558870508488,0.0112216232542523,0.0031046960010833,0.00949239413955791,0.00108680786934767
"11427-61",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112876399480947,0.0134669734268093,0.000967117064972067,0.0129100070908793,0.000950262262663995,0.0196355838959239,0.00367706141707562,0.0155505991082197,0.00146366177346196
