"sim","N","beta0","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11428-50",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107412952111936,-0.0108945578438014,0.00101178847287371,-0.0107442328788876,0.000985089470984883,-0.0147597064040038,0.00340212096519709,-0.0109094900645178,0.00141412238741491
"11428-51",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.1074162020502,-0.00976919321729675,0.00119755417555732,-0.00914314090331187,0.0011635152542276,-0.00896601510869465,0.00433271209867259,-0.00936040412607712,0.00197163054897756
"11428-52",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107309682233689,-0.00958442623905727,0.000995401752362928,-0.00886275852078225,0.000987760568865015,-0.00722744063489395,0.00289262685827402,-0.00966446261727546,0.00134937315541807
"11428-53",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107306938655706,-0.0101987899220299,0.000984192604660258,-0.00982656704602016,0.000966613301621791,-0.00587076668714968,0.00419032055891483,-0.0111620374711466,0.00143590178906573
"11428-54",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107428609139175,-0.0081234413522268,0.000991616426854761,-0.00760937960483148,0.000950166196662124,-0.00883305433272539,0.00379811890201299,-0.00767249278279107,0.0011744200497905
"11428-55",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107530395036514,-0.0102025868945676,0.00102310257833567,-0.00976405250706236,0.000998314945665766,-0.0099161102488225,0.00311343143079635,-0.0104534821307966,0.00127994655777069
"11428-56",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107058187824072,-0.00816518271088625,0.00104677905304827,-0.00818334090208956,0.00103250806289617,-0.00343197213699127,0.00417866870732307,-0.00853407869407469,0.00126339161304153
"11428-57",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.106643549329491,-0.0113119753929366,0.00109893604926514,-0.0103721484730751,0.00106518686045419,-0.0116354466073552,0.0042202008110142,-0.0107492666249063,0.00174247418616593
"11428-58",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.106994759160128,-0.00952422688634186,0.000976125055427556,-0.00927919911060054,0.000957759237320142,-0.00937621638828672,0.00269734886025821,-0.00952436995979972,0.00129363345364922
"11428-59",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107319518018358,-0.00892969963870566,0.0010729888260425,-0.00848417217007513,0.00103349172768842,-0.0108235078128522,0.00294556178220407,-0.00748911224485568,0.00126031824168923
"11428-60",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107134241144895,-0.0100650481284305,0.00110475270600156,-0.00978251492892661,0.00109194496171915,-0.00205862375993634,0.00364108783670989,-0.0097255095001154,0.0015402116826518
"11428-61",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107297406171294,-0.0122699184133866,0.00109512914684139,-0.0114590214360447,0.00105453217722801,-0.0145162662596236,0.00312579459773341,-0.0138346681625644,0.00158461956459539
"11428-62",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.106830057083617,-0.0082274006611021,0.00094504519014787,-0.00804095300737216,0.000940304050965772,-0.00639992682396959,0.00419689873794184,-0.00823065704834184,0.00124014736605544
"11428-63",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107399280942376,-0.0105720712037367,0.00118461707439626,-0.0101227121406176,0.00117834384091697,-0.00974540749302711,0.00318991901994992,-0.00918735990503746,0.00166711456088607
"11428-64",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.106920095014701,-0.00966850114713151,0.00103397649018087,-0.00902576517695626,0.00102610637092621,-0.0107155329306807,0.00417688992657415,-0.00927835418070379,0.00119471043726923
"11428-65",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107106465306816,-0.0110250251280934,0.00114157936102853,-0.0105532082581125,0.00110786179763494,-0.0159742376239231,0.00512383290132777,-0.0103189613949547,0.00144542290485001
"11428-66",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.106904171753565,-0.00963470187783683,0.000944976241364203,-0.00938597508493708,0.000955019981519551,-0.0061939077801335,0.00346774677322666,-0.00917299782722397,0.00128918818600423
"11428-67",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.108227309397148,-0.00906270508577047,0.0011068705506579,-0.00852090434918251,0.00107451761346761,-0.00854751088391999,0.00497357928618773,-0.00921001319477666,0.00153063633614869
"11428-68",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107009982264385,-0.0110667463888662,0.00105921361106667,-0.0106495632698848,0.00103064408059253,-0.00989848818302976,0.00381133896420559,-0.0111943480353592,0.00133870411829355
"11428-69",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.106966145493178,-0.00907878341344503,0.0011825802277116,-0.00863818208964604,0.00114791318595316,-0.0049245786280447,0.00349427582562696,-0.00837188391237185,0.00168773487964796
"11428-70",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107575902657616,-0.00697843963374408,0.000975450481361933,-0.00682135039536575,0.00095468093651349,-0.0064516829047525,0.00289176703829211,-0.00624103843450685,0.00144361210012009
"11428-71",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107304141549824,-0.00875449467561483,0.00103891500379431,-0.00819950121941997,0.00101369305988524,-0.0125633028652258,0.00564490148782492,-0.00930917402315181,0.00141999627040314
