"sim","N","beta0","beta1","muW","sigmaW","q","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-288",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113731807871849,-2.19642433956432,0.00140226291990056,0.0093380450783978,0.000405302522697772,-2.18935144944632,0.0012800752557259,0.0127144642269992,0.000655705371851595,-2.19750209876011,0.00437451597167748,0.00809385366092404,0.0014221023289013,-2.19596894754563,0.0029247872497366,0.00933218009888723,0.000974594707560895
"11422-289",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113567827984664,-2.20067711063178,0.00140358830961712,0.010181231065649,0.000392488914191117,-2.19304476841697,0.00130356085837847,0.014451948998806,0.00067843227837178,-2.19893314263959,0.0043269329516699,0.0100684953709514,0.00112094448757185,-2.20125182162825,0.00327273220106497,0.0103110221339247,0.00125555928725987
"11422-290",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113718263978675,-2.19870693975617,0.00139399544311687,0.00956877704182364,0.000373604995305462,-2.19268230193926,0.00130779697716416,0.0144762899779169,0.000649964853272608,-2.200992045297,0.00439348242995785,0.0101728112142281,0.00125322681682389,-2.19798981868345,0.00237553459786936,0.00940056710031817,0.000731933233530797
"11422-291",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113700211984953,-2.20022963330583,0.00139733519525568,0.010324343062924,0.000383515514185992,-2.19364993581505,0.00130547636122525,0.0155170053112074,0.000664199121822113,-2.20161802350455,0.00459415696083712,0.0106978622693761,0.00116278855346467,-2.20228451346843,0.00272629447528038,0.0109084421979038,0.000902059414500536
"11422-292",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113533296949134,-2.19913444284349,0.00140545583185326,0.0094996647454613,0.000396891066262291,-2.1931421922432,0.00130882241312155,0.0141510335034387,0.000679863990107449,-2.19955241838003,0.00449059582443295,0.0089045594018667,0.00124204015306161,-2.19810109378086,0.00299907327334989,0.00907433521182117,0.000873432724563038
"11422-293",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113389814892318,-2.20319883087774,0.00141219357516245,0.0105369956319549,0.000396068617673539,-2.19632615303825,0.0013181810619857,0.0153481042570445,0.000673788444508703,-2.20412467355613,0.004403342410211,0.0112016404618206,0.00122642641567525,-2.20208487073109,0.00335278264739753,0.0103975847032354,0.00110223914194279
"11422-294",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113508889659676,-2.20216141875019,0.00140598782191378,0.0102459657221567,0.000381896085480291,-2.1940083302132,0.00131428365376941,0.0142511553403424,0.000666232136538572,-2.2067293214384,0.00458759594243766,0.0110445039605741,0.00119916799621811,-2.20247847551552,0.00261388021724482,0.0101661201615058,0.00106225785504505
"11422-295",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113672377211483,-2.20081101773736,0.00142046864938665,0.0102426740697528,0.000388382385251139,-2.19308542707723,0.00132029428604869,0.0146374831249132,0.000672072047430009,-2.19875658650221,0.00455791879908141,0.00872510654486693,0.00123607347207004,-2.19634351188742,0.00300961227828971,0.00849257478273243,0.000955148317000501
"11422-296",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.11346905327869,-2.20081333214327,0.00140818537725193,0.00974489916116526,0.000389742964282454,-2.19356873640682,0.00130978656867482,0.0138281264993042,0.000670301294817231,-2.20446875177193,0.00426821070758229,0.00947338602463304,0.00108630480027395,-2.19630549202893,0.00252706910388598,0.00811741847789046,0.000853474132164528
"11422-297",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.11371810403096,-2.19976694392674,0.00140529097051547,0.0100093025336826,0.000381454782383215,-2.19281989260789,0.00130825238490929,0.0146048713142006,0.000652904139639756,-2.20510284814095,0.00447816173201083,0.00974396901690677,0.00135404546478867,-2.19895700322141,0.00243634382110691,0.0102688175899077,0.000963677816108776
