"","STATEFP","COUNTYFP","TRACTCE","POPULATION","LATITUDE","LONGITUDE"
"358",37,45,950700,6976,35.282394,-81.494862
"359",37,45,950800,4380,35.33332,-81.50946
"360",37,45,950900,2952,35.307119,-81.532042
"361",37,45,951000,3573,35.29019,-81.527593
"362",37,45,951100,2842,35.289644,-81.551214
"363",37,45,951200,5253,35.270857,-81.558927
"364",37,45,951300,2914,35.31113,-81.591456
"365",37,45,951400,6726,35.319054,-81.653979
"366",37,45,951501,5775,35.251631,-81.678161
"367",37,45,951502,1298,35.194907,-81.697326
"368",37,45,951503,2463,35.242887,-81.623944
"369",37,45,951601,4391,35.20795,-81.561169
"370",37,45,951602,4821,35.23406,-81.512206
"371",37,47,930100,4198,34.330126,-78.252468
"372",37,47,930200,2175,34.313221,-78.368217
"373",37,47,930300,2620,34.326781,-78.517522
"374",37,47,930400,4062,34.363256,-78.623895
"375",37,47,930500,4536,34.414213,-78.84918
"376",37,47,930600,3878,34.291924,-78.968508
"377",37,47,930700,4815,34.320224,-78.826267
"378",37,47,930800,4170,34.363973,-78.722138
"379",37,47,930900,4749,34.328192,-78.71651
"380",37,47,931000,5687,34.275756,-78.730297
"381",37,47,931100,3752,34.200173,-78.779345
"382",37,47,931200,7803,34.151454,-78.853881
"383",37,47,931300,5653,34.123107,-78.656478
"384",37,49,960101,3924,35.080399,-76.964647
"385",37,49,960102,4790,35.168422,-77.031645
"386",37,49,960200,8637,35.303537,-77.165923
"387",37,49,960300,6858,35.21915,-77.275527
"388",37,49,960401,4317,35.103601,-77.126657
"389",37,49,960402,3842,35.093183,-77.086842
"390",37,49,960403,4158,35.083242,-77.092491
"391",37,49,960404,3165,35.073385,-77.149556
"392",37,49,960500,7977,35.136884,-77.099206
"393",37,49,960600,4980,35.114922,-77.076241
"394",37,49,960700,1850,35.105264,-77.067107
"395",37,49,960800,3321,35.115509,-77.051461
"396",37,49,960900,2255,35.108244,-77.043602
"397",37,49,961001,9336,35.048739,-77.044574
"398",37,49,961002,4170,35.049537,-77.005856
"399",37,49,961100,8979,34.932732,-76.940286
"400",37,49,961201,4095,34.905891,-76.921931
"401",37,49,961202,3748,34.909869,-76.894075
"402",37,49,961301,3640,34.873994,-76.912005
"403",37,49,961302,5673,34.872302,-76.887178
"404",37,49,961303,3790,34.90536,-76.773258
"405",37,51,200,1633,35.045522,-78.871099
"406",37,51,500,2194,35.026176,-78.89952
"407",37,51,600,5526,35.034076,-78.919654
"408",37,51,701,5685,35.055728,-78.934796
