"TractFIPS","CountyName","POP","DIABETES","OBESITY"
37027030800,"Caldwell",8169,834,2819
37027030900,"Caldwell",4971,617,1795
37027031000,"Caldwell",3042,353,1035
37027031100,"Caldwell",4318,497,1482
37027031201,"Caldwell",4672,542,1622
37027031202,"Caldwell",4587,519,1652
37027031300,"Caldwell",8094,769,2663
37027031401,"Caldwell",3193,317,1057
37027031402,"Caldwell",3580,333,1143
37027031403,"Caldwell",2425,311,917
37029950101,"Camden",5324,560,1784
37029950102,"Camden",4656,499,1490
37031970101,"Carteret",1216,178,397
37031970102,"Carteret",2608,295,853
37031970103,"Carteret",3046,360,1067
37031970200,"Carteret",1207,165,413
37031970301,"Carteret",4623,532,1591
37031970302,"Carteret",1092,149,396
37031970303,"Carteret",688,77,223
37031970304,"Carteret",2241,305,810
37031970401,"Carteret",1520,195,525
37031970402,"Carteret",1582,208,600
37031970403,"Carteret",1191,122,339
37031970501,"Carteret",2436,283,877
37031970502,"Carteret",1935,182,577
37031970503,"Carteret",2218,231,721
37031970504,"Carteret",1771,153,580
37031970601,"Carteret",1306,119,416
37031970602,"Carteret",1025,108,315
37031970603,"Carteret",1640,189,606
37031970604,"Carteret",2095,218,587
37031970605,"Carteret",1247,130,356
37031970701,"Carteret",1409,150,505
37031970702,"Carteret",3529,300,1162
37031970703,"Carteret",5452,508,1745
37031970704,"Carteret",2379,255,795
37031970801,"Carteret",2363,249,787
37031970802,"Carteret",1626,160,492
37031970803,"Carteret",1471,161,436
37031970804,"Carteret",3052,284,953
37031970805,"Carteret",1634,157,548
37031970901,"Carteret",1156,110,326
37031970902,"Carteret",1282,118,375
37031970903,"Carteret",1217,128,357
37031971001,"Carteret",356,38,106
37031971002,"Carteret",1339,161,377
37031971101,"Carteret",962,97,298
37031971102,"Carteret",555,53,173
37033930100,"Caswell",2436,383,980
37033930200,"Caswell",5838,870,2353
37033930300,"Caswell",4165,579,1558
37033930400,"Caswell",2643,336,973
37033930500,"Caswell",3847,474,1401
37033930600,"Caswell",4790,604,1711
37035010101,"Catawba",6112,575,1791
37035010102,"Catawba",4057,431,1169
37035010201,"Catawba",4815,439,1421
37035010202,"Catawba",8365,862,2619
37035010301,"Catawba",4821,468,1466
37035010302,"Catawba",5467,476,1493
37035010303,"Catawba",4027,484,1289
37035010304,"Catawba",4344,465,1430
37035010401,"Catawba",6593,739,2025
37035010402,"Catawba",4948,490,1529
37035010501,"Catawba",3753,335,1029
37035010502,"Catawba",3226,297,872
37035010600,"Catawba",6421,700,1946
37035010700,"Catawba",2426,301,818
37035010900,"Catawba",3762,685,1592
37035011000,"Catawba",2644,431,1008
37035011101,"Catawba",3497,382,1043
37035011102,"Catawba",6873,592,2021
37035011200,"Catawba",5983,587,1795
37035011300,"Catawba",7187,928,2523
37035011401,"Catawba",3525,374,1118
37035011402,"Catawba",4030,496,1254
37035011501,"Catawba",4821,483,1447
37035011503,"Catawba",3715,331,1059
37035011504,"Catawba",5616,506,1590
37035011601,"Catawba",4487,485,1450
