"GEOID","NAME","INCOME","PERC_POVERTY","PERC_SNAP","PERC_CAR","PERC_PUBLIC_TRANSIT","PERC_INSURED","PERC_COLLEGE","PERC_FEM_HEAD","PERC_WHITE","PERC_BLACK","PERC_NATIVE","PERC_ASIAN","PERC_HAWAIIAN"
"37067003803","Census Tract 38.03, Forsyth County, North Carolina",57860,0.0877869959482925,0.0572419774501301,0.907407407407407,0,0.874590005788154,0.723663725998962,0.357881136950904,0.67239050742813,0.305421570519004,0.00327995369477137,0.0154350762106888,0
"37067003804","Census Tract 38.04, Forsyth County, North Carolina",67528,0.12907949790795,0.0973971452560873,0.870232172470978,0,0.891213389121339,0.672592997811816,0.531868131868132,0.51797385620915,0.327614379084967,0,0.133374183006536,0
"37067003805","Census Tract 38.05, Forsyth County, North Carolina",61100,0.285535574667709,0.164321034613922,0.888532991672005,0,0.795934323690383,0.652590228332924,0.327165062916358,0.53807662236122,0.377951524628616,0,0.0497263487099296,0
"37067003806","Census Tract 38.06, Forsyth County, North Carolina",72279,0.138623326959847,0.0594855305466238,0.895744680851064,0,0.906289707750953,0.63170613823103,0.250283125707814,0.74587039390089,0.169313850063532,0,0.0244599745870394,0
"37067003903","Census Tract 39.03, Forsyth County, North Carolina",31406,0.244697833523375,0.124882629107981,0.770569620253165,0.0162183544303797,0.794298745724059,0.63963963963964,0.314736842105263,0.530640036314117,0.312074443940082,0.00522015433499773,0.0608261461643214,0
"37067003904","Census Tract 39.04, Forsyth County, North Carolina",69309,0.101120099564406,0.0727334235453315,0.804164152082076,0.0114665057332529,0.905111771142723,0.726813880126183,0.149866190900981,0.680669663618044,0.14369865137188,0,0.121996589676019,0
"37067003905","Census Tract 39.05, Forsyth County, North Carolina",60000,0.147887323943662,0.0882185543540125,0.851809304997128,0,0.899487836107554,0.756140350877193,0.211678832116788,0.759282970550576,0.124199743918054,0.0028809218950064,0.0355313700384123,0
"37067003906","Census Tract 39.06, Forsyth County, North Carolina",116667,0.0481313703284258,0.0189825360668185,0.928619528619529,0,0.950634696755994,0.873852295409182,0.0566448801742919,0.932581100141044,0.0166431593794076,0,0.0265162200282087,0
"37067003908","Census Tract 39.08, Forsyth County, North Carolina",137625,0.033022014676451,0.0148861646234676,0.868995633187773,0,0.994663108739159,0.856435643564356,0.0265625,0.974649766511007,0.00867244829886591,0,0.00433622414943296,0
"37067003909","Census Tract 39.09, Forsyth County, North Carolina",96959,0.0302816901408451,0.0115122972265829,0.886682808716707,0,0.983098591549296,0.818681318681319,0.08004158004158,0.894366197183099,0.039906103286385,0.00492957746478873,0,0
"37067004005","Census Tract 40.05, Forsyth County, North Carolina",98421,0.0490058244627435,0.0287733467945482,0.804008016032064,0.00440881763527054,0.967262502510544,0.819134641225477,0.172477064220183,0.944235712873245,0.0278821435633775,0.00177971129127941,0.0203678070001977,0
"37067004007","Census Tract 40.07, Forsyth County, North Carolina",98162,0.0350132625994695,0.00899213188460097,0.835564610011641,0,0.958355437665782,0.775373420145538,0.0884177869700103,0.880769230769231,0.0518567639257294,0,0.0578249336870027,0
"37067004009","Census Tract 40.09, Forsyth County, North Carolina",89100,0.0419828022255943,0.0415866922584773,0.900665642601126,0,0.941740226986129,0.73330990864371,0.161081081081081,0.935006273525721,0.0338770388958595,0,0.00702634880803011,0
"37067004010","Census Tract 40.10, Forsyth County, North Carolina",108056,0.0392050095289954,0.00744752877454299,0.867564534231201,0,0.930029948271168,0.84961801367109,0.0735607675906183,0.815137489790362,0.108630547236591,0.0081677103185407,0.0389327525183773,0
"37067004011","Census Tract 40.11, Forsyth County, North Carolina",89149,0.0419018299982897,0.0713020372010629,0.838317107093185,0,0.936890713186249,0.728171731789677,0.121538461538462,0.857875833760903,0.109628869505729,0,0.0157345647340516,0
"37067004012","Census Tract 40.12, Forsyth County, North Carolina",81136,0.100682926829268,0.0399800099950025,0.88421052631579,0,0.926829268292683,0.768359941944848,0.209742895805142,0.746294513955727,0.13320500481232,0,0.0939364773820982,0.00943214629451396
"37067004013","Census Tract 40.13, Forsyth County, North Carolina",78011,0.154509079716836,0.0109204368174727,0.806613946800863,0,0.921822099107418,0.690759377859103,0.11037527593819,0.863650353955063,0.00892582333025546,0.0147737765466297,0.0307787011388119,0
"37067004014","Census Tract 40.14, Forsyth County, North Carolina",73977,0.111228813559322,0.0090702947845805,0.897353648757017,0,0.895127118644068,0.699395067473243,0.158783783783784,0.944132115249473,0.0245959241040056,0.0101897399859452,0.0161630358397751,0
"37067004015","Census Tract 40.15, Forsyth County, North Carolina",65858,0.0524958987579095,0.0479078229229836,0.924330005254861,0,0.953026408039262,0.707618393960192,0.248789932236205,0.865389109605048,0.0864688011217574,0.00654358494975462,0.0313157279738257,0
"37067004102","Census Tract 41.02, Forsyth County, North Carolina",64813,0.134443783462225,0.0606498194945848,0.846923076923077,0,0.902641733452063,0.574601844090528,0.183284457478006,0.900860789551796,0.0629266844761057,0,0.00682695161769071,0
