"sim","N","beta1","muU","sigmaU","pV","avg_prev","beta_noY","se_beta_noY","beta_Y","se_beta_Y","beta_logY","se_beta_logY","beta_logYoverPop","se_beta_logYoverPop","beta_logY_logPop","se_beta_logY_logPop"
"11425-51",100,0.00995033085316809,-0.7,0.6,0.1,0.0715935090627555,0.00770775592175005,0.00524934968698656,0.0038268832682157,0.00374221820249498,0.00404059983886282,0.00404846490955311,0.0028974131260658,0.00370526212026813,0.00308040955157145,0.00394196501295283
"11425-52",100,0.00995033085316809,-0.7,0.6,0.1,0.0717962972268201,0.00640310775970514,0.00498446695850595,0.00757463993763771,0.00533414272073203,0.00765026467591225,0.00531276619229866,0.00826131061035565,0.00515393767872684,0.00959690607638018,0.00586321340381213
"11425-53",100,0.00995033085316809,-0.7,0.6,0.1,0.0715961192887319,0.00873506995508492,0.00553229601502814,0.00703567531937707,0.00530948414123005,0.00713505191299771,0.00475799561879298,0.00698377481591047,0.00530583898750179,0.00818231118153616,0.00532651648414121
"11425-54",100,0.00995033085316809,-0.7,0.6,0.1,0.0714782309673514,0.00888425402420903,0.00423069185659097,0.00912338297068226,0.00420274099210212,0.00921059982939395,0.00385711947202125,0.00924856170624092,0.00357585607540504,0.0092262205326858,0.00389114384779243
"11425-55",100,0.00995033085316809,-0.7,0.6,0.1,0.0715308606232468,0.0134902335668306,0.00492630763492026,0.013129033579499,0.00496907392907919,0.0132403290850568,0.00473479086757172,0.012727682993082,0.00476248220132712,0.0129126038635373,0.00550042714738915
"11425-56",100,0.00995033085316809,-0.7,0.6,0.1,0.0723716274335185,0.0077830135171132,0.00652520163450323,0.0103543596503626,0.00591633581388756,0.0104774245825252,0.00641104423972008,0.0112960682599638,0.00608735140899436,0.0116381273801656,0.00681922976193414
"11425-57",100,0.00995033085316809,-0.7,0.6,0.1,0.0713331145766703,0.00739562781062513,0.0037681443522157,0.00438220571974649,0.00392532930016162,0.00434966406834308,0.00393345723616661,0.00396089375482651,0.00391655031524951,0.00396149996198802,0.0040976878655835
"11425-58",100,0.00995033085316809,-0.7,0.6,0.1,0.0717799760589043,0.0145918462465074,0.0033894873052551,0.014034869323261,0.00347986161710533,0.0138958160572312,0.00330178900217636,0.0135438201005704,0.00340679006188802,0.0131872645138343,0.00318165046197829
"11425-59",100,0.00995033085316809,-0.7,0.6,0.1,0.071786529313652,0.00702932068002917,0.00439830909273161,0.0060030555057044,0.00431260869556159,0.00635849825467466,0.00411238733068377,0.00582704987222746,0.0034036110350921,0.00631328969162527,0.00509257920776475
"11425-60",100,0.00995033085316809,-0.7,0.6,0.1,0.0712927476092773,0.00690848344144964,0.00374261181798779,0.00891996574942621,0.00318898169842552,0.00890737050634596,0.00311580089881111,0.00827700758115157,0.00372303144897132,0.00835570924354645,0.00340624421536991
"11425-61",100,0.00995033085316809,-0.7,0.6,0.1,0.0713548853624411,0.00880970874739535,0.0042647033016104,0.00920975287389659,0.00386567915860851,0.00922314242497176,0.0047077842144616,0.00887402473873287,0.00412226885895354,0.00886660276450447,0.00455751870762133
"11425-62",100,0.00995033085316809,-0.7,0.6,0.1,0.0717103148357958,0.00976275307369225,0.00604004114366137,0.0140744850669854,0.00556035644044727,0.0141463864928628,0.00540947860079117,0.015903724507101,0.00504247512169396,0.015621724324432,0.00542143857270227
"11425-63",100,0.00995033085316809,-0.7,0.6,0.1,0.0712864929439983,0.00859004668023587,0.00250173061781347,0.00894844970050347,0.00249152798007882,0.00894796584104864,0.0024550471678557,0.00930795857536944,0.00269774831130962,0.00892756868990069,0.00251579665093013
"11425-64",100,0.00995033085316809,-0.7,0.6,0.1,0.0731032382639057,0.00844711835602907,0.00361132391819284,0.0093658076824405,0.00286759503810575,0.00907177712337161,0.00331727629660566,0.00929630814748388,0.00326387294364465,0.00920125255590348,0.0031415549034726
"11425-65",100,0.00995033085316809,-0.7,0.6,0.1,0.07171882156664,0.00776587383131305,0.00380271091397213,0.00740904930835031,0.00456941317819408,0.00749196090544453,0.00417526718838723,0.00734934506577151,0.00393974730613874,0.00683129307826913,0.0038529799592156
"11425-66",100,0.00995033085316809,-0.7,0.6,0.1,0.0713283914728172,0.0101889239302119,0.00350621739096354,0.00959659086149369,0.00359980918130011,0.00930388477066449,0.00362391821781397,0.00968150551737447,0.00349876010565603,0.00970919837228135,0.00374069244157511
"11425-67",100,0.00995033085316809,-0.7,0.6,0.1,0.0722431234265859,0.00168244973953871,0.00340194109275637,-0.000292096106819531,0.00361308829907946,-0.000611542792035466,0.00359802874168931,0.000827623662075032,0.0038788606764341,-0.00049023264940007,0.0038720451580326
"11425-68",100,0.00995033085316809,-0.7,0.6,0.1,0.0714228721014158,0.0111298865686702,0.00428809007531241,0.0138083376691307,0.00467897115713544,0.0138215299301285,0.00448679601328957,0.0128488297610431,0.00453535916494757,0.0139116346374434,0.00453499512184168
"11425-69",100,0.00995033085316809,-0.7,0.6,0.1,0.072302864135476,0.0066024449163132,0.00470506967362019,0.0096762189781359,0.00614325391066074,0.00942266589857481,0.00556010946051121,0.00910915334976683,0.00480838012607743,0.00732694380797657,0.00580157248299042
"11425-70",100,0.00995033085316809,-0.7,0.6,0.1,0.0711440325432468,0.0147126073698386,0.00454152609878258,0.0137889876688113,0.00590694823880851,0.0135094991358382,0.00503263443221268,0.0144081325975856,0.00413152942466577,0.0156399324776225,0.00447947964497198
"11425-71",100,0.00995033085316809,-0.7,0.6,0.1,0.0712893075895464,0.0124466032212659,0.00760688606836681,0.0106639000191059,0.00760839832906433,0.0102574476026488,0.00847716127865871,0.0087461044324597,0.00761501973209674,0.00824936614808104,0.00716152663662647
"11425-72",100,0.00995033085316809,-0.7,0.6,0.1,0.0712602416972511,0.00927272828091038,0.0031585907767719,0.00962734231069944,0.00327694372953589,0.0095992721503535,0.00313021298663568,0.00947195969948656,0.00311087033525488,0.00944576537082267,0.00330030876511214
"11425-73",100,0.00995033085316809,-0.7,0.6,0.1,0.0712921407977703,0.0112163239308804,0.00479693358576339,0.0139750553806437,0.00484998836761387,0.0140709495409512,0.00460186683750074,0.0145755522748446,0.00488204441617575,0.0144356965637761,0.0049825755549613
