"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-54",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113739647648964,-2.20329128042326,0.00347763736668949,0.0112296034116932,0.000962534229113338,-2.18987478354412,0.00277680127391452,0.01044078803995,0.000935742417940458,-2.20165332023927,0.0101033186487048,0.0114891906452979,0.00289749669228771,-2.20383996780757,0.00495403093161318,0.0110406535218727,0.00151122765354282
"11422-55",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113819257133042,-2.19986406507592,0.00344724334963138,0.0105217593135764,0.000981067238247872,-2.18717669007651,0.00272991373883243,0.00967007700978099,0.000934733192777821,-2.21020694645772,0.0100871064033789,0.0121592870196591,0.00241762930238635,-2.2008683441502,0.00497122870506431,0.0110259629154551,0.00150808694562329
"11422-56",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113398765860703,-2.20558373025884,0.00339736449782802,0.0120049059265337,0.00100581377822054,-2.19081330933629,0.00267540520956895,0.0109808102144154,0.000964718786245462,-2.21490701908183,0.0116995449986572,0.0157551325033012,0.00358902218490453,-2.20553865234111,0.00527911761845149,0.0117648350061571,0.00179013029706159
"11422-57",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.11348657259359,-2.20426901900574,0.00340409815476876,0.0110474124033581,0.000947803609785706,-2.19047695159742,0.00271981519207972,0.00985204680384204,0.00090372012690942,-2.19959557220003,0.01153951859082,0.0119330236837638,0.00381142752157957,-2.20739245777544,0.00489829935011745,0.0124405132787957,0.00152650463680907
"11422-58",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113899697053894,-2.19784017599462,0.00351856162493047,0.0098799878313194,0.00101004093958646,-2.18584122874265,0.00275297700170275,0.00908103060655406,0.000956220633566,-2.18732328869984,0.0120540227416611,0.00803521755651934,0.00344100668636574,-2.20227645422725,0.00672396524152227,0.0113573020363283,0.0021761747072383
"11422-59",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.112995259750951,-2.20606320349336,0.00339643113010205,0.0105056172830926,0.000986979476983331,-2.19331633983712,0.00269989103626754,0.00946628402137354,0.00093746349044523,-2.1908586969887,0.0113735420255278,0.0107010727520559,0.00401652863755756,-2.2052028161756,0.00540705160294026,0.0108555984350328,0.00207314892390936
"11422-60",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113174175478992,-2.1988073413852,0.00338233357041201,0.00809872330489725,0.000975490085233592,-2.18840698059537,0.00268859038339769,0.0069749286522921,0.000927148113614847,-2.18533227342956,0.0123317340367074,0.00632552314501383,0.00365114048424019,-2.1970617767146,0.00473905911193709,0.00702430327563498,0.00164415773709872
"11422-61",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113397745325209,-2.20100679629252,0.0034871447677929,0.00947699367931151,0.000997264356402157,-2.18952297064157,0.00272046230615879,0.00899841487830595,0.000943838975541924,-2.19919121191487,0.0102591638277157,0.0104112220564279,0.00252539558681343,-2.20100883408008,0.00514664801100445,0.0097764254066446,0.00164690411322269
"11422-62",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113492750044477,-2.19849046170219,0.00324913182487068,0.00899508151278754,0.000881255203661731,-2.18749427037392,0.00264837479306372,0.00829812070117839,0.00084874669445326,-2.21787053192783,0.0123576402620102,0.0113574622906832,0.00297109525481194,-2.20011908164878,0.00433015134222536,0.00941507260614888,0.00139620916048611
"11422-63",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113855165007992,-2.20308120828311,0.00335305828062989,0.0107525071537378,0.000835322487007126,-2.1897477860033,0.00274474179355423,0.00987993327954335,0.000802689038460803,-2.208995757045,0.0106723526582075,0.0128451319070961,0.00222523689809668,-2.20233040748441,0.00466786842352325,0.00988584713804373,0.00143510504478091
"11422-64",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113587287925658,-2.20416796170434,0.0033957348408058,0.0111786114020669,0.000930898098996448,-2.19003776880031,0.00270348011108256,0.0102625142108988,0.000894747536661399,-2.20288880871394,0.0113649776396511,0.0108671432167552,0.00309143061215483,-2.20590653792795,0.00525380673178969,0.0116708242786233,0.00170644401537105
"11422-65",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113653395653568,-2.19715757757664,0.00347706577571825,0.00919897461627721,0.00103367095697399,-2.18419085852093,0.00267362286904879,0.00748105869137256,0.000971489295308396,-2.19257256124401,0.0114497671628284,0.00805346179844596,0.00319303608983316,-2.20113097038083,0.00617334425440111,0.00952954603367163,0.00188298311092613
"11422-66",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113950471356302,-2.19500509312218,0.00351059302160571,0.00957597414736653,0.00107258521822167,-2.18229030634944,0.00268820654971154,0.00812882366651254,0.00100640061694065,-2.18175010938438,0.011957396275669,0.00469431990808364,0.00504982557552109,-2.19773534758486,0.00581722639959133,0.0109778097428303,0.00209452421695863
"11422-67",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113679930604454,-2.20043145257858,0.00318464507700399,0.0106500681895556,0.000861262751448418,-2.18713433351704,0.00260590734476017,0.00990023673054454,0.000837258542045967,-2.19596967181384,0.011129609181701,0.0074024893660286,0.004685693522088,-2.20044640240689,0.00536055232697345,0.0105996914071424,0.00160293581525994
"11422-68",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113556226592863,-2.20069328713684,0.0032815811830409,0.0103713221474272,0.000927146578223462,-2.18797504986109,0.00263676229713175,0.0094616761547477,0.000873139863352316,-2.20698439555906,0.0108733757230381,0.0119321702828271,0.00320145153960269,-2.20231282077722,0.00463896289805247,0.0117619058637017,0.00164083872143667
