"sim","N","beta0","beta1","muU","sigmaU","pV","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-816",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0688276984199821,-2.69979994157909,0.00177388883313761,0.00935073179490219,0.000488342912004399,-2.6898552803988,0.0014663645360068,0.00880739110263004,0.000473977632244625,-2.69783573237965,0.00549186267070433,0.00826535088870668,0.00141650139966103,-2.70004541569289,0.00230268996399221,0.00950607003016708,0.000724605317636949
"11422-817",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0689235409365739,-2.70004099831959,0.00175773394010328,0.0103060847644818,0.000494285163415103,-2.68878936377936,0.0014491840816378,0.00960169855710416,0.000482188499902661,-2.70378735445393,0.00579637457721003,0.00972654041557159,0.0017100346718013,-2.69846047596688,0.00229131834629565,0.00973509586026424,0.00071560706135728
"11422-818",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0688029283042012,-2.70172806132681,0.00177089186372714,0.0102880363976397,0.000501338939021213,-2.69050371607368,0.00145631404031049,0.00951233757753927,0.000486512409389399,-2.7048770926649,0.00540678490058975,0.0118772161706584,0.00148938658360993,-2.70104799630787,0.00214908291245893,0.0102274193083341,0.000720430913198249
"11422-819",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0688143906804914,-2.69946767657493,0.00178345327868102,0.00948797685390696,0.000512430321500754,-2.68968015641133,0.00146603482461857,0.00904797219671581,0.000499965629684718,-2.69410233955176,0.00569417266629106,0.0064073254982924,0.00151965607159902,-2.70020426573605,0.00245381651457873,0.00952608415494565,0.000788782484784352
"11422-820",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0686812547760484,-2.70273026308259,0.00176818091600675,0.00988233103715875,0.000494609403429108,-2.69233165811856,0.00146340007292324,0.0092387341204578,0.000478518552767158,-2.69580209010846,0.00558831467856869,0.0087088979639377,0.00140923301098099,-2.7040603932945,0.0023213365397013,0.010364558282718,0.000782156608967208
"11422-821",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0688654247371915,-2.70463230208411,0.00177025928021321,0.011368319290684,0.000479797135999305,-2.69283224000783,0.00147327448168525,0.0108666908697567,0.00047064551821893,-2.7077974911268,0.00537273299626341,0.00993130466139,0.00145632203480594,-2.70506519103122,0.00216998040795784,0.0114380386312115,0.000693847443804482
"11422-822",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0688828797616972,-2.70179341459517,0.00180564978545093,0.0105336297976096,0.000508860510775173,-2.69084173539668,0.00147863972984454,0.0101185737288856,0.000495625804017033,-2.70641925948433,0.00579056329549623,0.0135072163508718,0.00187111573892116,-2.70282918158487,0.00244489911677715,0.0109425672929169,0.000745932427144608
"11422-823",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0689789368562518,-2.7000310964139,0.00178670999492104,0.0102246561719242,0.000491230538552991,-2.68925402822189,0.0014752416880518,0.00974454315990089,0.000480975386809663,-2.71025926885859,0.00564949827242805,0.0129785015056139,0.00164119776811382,-2.70126787165621,0.00210548997280733,0.0106761734392495,0.000647841004933213
"11422-824",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0689795914526601,-2.69824923063163,0.00179433490054384,0.00962983732820669,0.00050062744244824,-2.68828072325556,0.00148241258435597,0.00909935883962696,0.000487848810898436,-2.69895187661212,0.00554367691936215,0.00736648474594409,0.00144380052347057,-2.69668681627061,0.00246168187118199,0.0091160741194241,0.000762181124216269
"11422-825",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0688808856962207,-2.70072281104626,0.00177366757963545,0.0101591178831063,0.000494175110241058,-2.6899225178834,0.00146225801746979,0.00954672218113578,0.000477711740434723,-2.70103715597078,0.00549470936249452,0.00949226694586349,0.00137974133798547,-2.69966418577823,0.00211032443874844,0.00973265165462488,0.000699286664468613
"11422-826",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0689358307215187,-2.7005828746082,0.00179774164244972,0.0104661089013499,0.000510662484306272,-2.68982541481666,0.00147551547830034,0.0100396586434339,0.00049765158711459,-2.70411593874042,0.00547501525208542,0.0112547760439597,0.00148616740352641,-2.69924697373095,0.00223369611852277,0.00985332640023768,0.000668704588522444
"11422-827",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0687694681896804,-2.70112716106148,0.00180684847275673,0.00955303137810263,0.000508116985840456,-2.69073856487814,0.00147749235474076,0.0089855713273065,0.000497590731676976,-2.69952624183953,0.00579999915188867,0.00987062385918358,0.00183045577888789,-2.70116668202638,0.00296225209081098,0.00966152440050942,0.000995505060067484
"11422-828",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0689469045292927,-2.70217504101472,0.00180980418556505,0.010738396552787,0.000497677433771295,-2.69075740572244,0.0014873307177327,0.010162355788271,0.000484601714892104,-2.70385790040457,0.0057946296141641,0.0111258569189092,0.0015390536502376,-2.70298533600359,0.00233924431491473,0.0110932345282118,0.00072988290537652
"11422-829",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0687630841113936,-2.70371149687288,0.00175209000794858,0.0106260203293662,0.000479184827957178,-2.6927218095329,0.00146314374655126,0.0100839330426934,0.000469137861491763,-2.7024088618827,0.00604337384826579,0.0107586061890621,0.00200552704227218,-2.70426584564993,0.00229361342616997,0.010662470438635,0.000712061604621493
"11422-830",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0688410175912188,-2.70126672110673,0.00177768045442771,0.0100779861328745,0.000493001975404931,-2.69095096341542,0.00147027536161914,0.00971210050749777,0.000480946336190627,-2.70738896208177,0.005785380736746,0.0112894167212767,0.00162592445374452,-2.70314371946221,0.00229605442806426,0.0105476372465446,0.000707298252031067
"11422-831",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0691177229813464,-2.69773137558937,0.00177473723443946,0.00969817496033034,0.000465658708030406,-2.68720434443872,0.00148062453693092,0.00906237065575287,0.000456652510825351,-2.69083473476113,0.00576951782161534,0.00823594836758809,0.00163905530852259,-2.69901639741375,0.00216373674820518,0.0100634456584351,0.000649115439089781
"11422-832",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0689151855499623,-2.70366810582823,0.0017907124755556,0.0111841757941897,0.000488461679697798,-2.69128857110472,0.0014751993505448,0.01036141766534,0.000476271915263233,-2.70506580123094,0.00566744758781263,0.0103059258036147,0.00165539949550018,-2.7048105778846,0.00237711646600652,0.0115973005962092,0.000795033846251649
"11422-833",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0688972561535872,-2.69869363858345,0.00179224218006438,0.00956119432144964,0.00051239281285771,-2.68835428674518,0.00146274470658609,0.00895526707049626,0.000496257686633943,-2.69920776958181,0.00576702225975363,0.00928719240973241,0.00182953786415342,-2.6989503211799,0.00226237610717935,0.00974231870738673,0.000726760138669164
"11422-834",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0689517987102345,-2.69804182727111,0.00181244862362304,0.00959047234628939,0.000522370843885949,-2.68822262320412,0.00148263245019793,0.00913701739243272,0.000507511544409047,-2.687441822845,0.00592394819190854,0.00668884031651312,0.00175743352613157,-2.69858998627675,0.00228763065585783,0.00988972817767746,0.000746785136328265
"11422-835",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0688572957325631,-2.70038506088799,0.00177351947264989,0.00991774533244743,0.000496474357187902,-2.6897683888033,0.00146294250748794,0.00926773269547326,0.000482477683913969,-2.69718158875621,0.0057394928457551,0.010063729612531,0.00167893508864607,-2.70021113969609,0.00207953654806782,0.00963031652936733,0.000690073298087723
"11422-836",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.068921927173896,-2.69927073193531,0.00178927742796338,0.009400029236308,0.000481836150816065,-2.68920054158683,0.00148510764980543,0.00878007844085008,0.00047047239371911,-2.69269268181619,0.00547395707938618,0.00901177229028048,0.00139253227310873,-2.69935974138592,0.00240469654587831,0.00944847747619804,0.000694522302019165
"11422-837",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0687994581557606,-2.70162836366512,0.00179075585989121,0.0104367136746737,0.000523772889911843,-2.69067285823785,0.00146235035179407,0.00987126148828806,0.000509573886524566,-2.6966387670592,0.00576305365867844,0.00948703246453426,0.00168695312993793,-2.70034723106554,0.00268008606949827,0.00998218215122565,0.000961536455562178
"11422-838",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0688443159356627,-2.70070205347554,0.00178253500912287,0.00983816495059129,0.000494769728068314,-2.6900919571269,0.00147306946164587,0.00910279274176671,0.000481615185832644,-2.70222640528257,0.00540406357132388,0.00955442511472403,0.00139489578815542,-2.70027654203845,0.00225137532092148,0.00971105044225384,0.00068362187288771
"11422-839",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0689161609926157,-2.69917001122499,0.00179215368747842,0.00982139776223449,0.000509331257216806,-2.6887571835022,0.00147332177859542,0.00917696908476865,0.000496255758652937,-2.70554842055625,0.00569427471682256,0.0110787135431004,0.00184168374195529,-2.69944874413997,0.00212209598468404,0.010060078188011,0.000716652144739469
"11422-840",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0688926242412937,-2.69947797239466,0.0018043173781834,0.0091675554318487,0.000482694362415537,-2.68996216135294,0.00149599849722191,0.00880001492202509,0.000473475215515425,-2.70054571255208,0.00555787272125184,0.00880199043595179,0.00151092755794747,-2.6995682040507,0.00237185923647787,0.0088416459466594,0.000734919540650669
"11422-841",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0688497508511965,-2.70214041633422,0.0017917971333724,0.0103317477033715,0.000495048675279416,-2.69111634725129,0.00147209291659217,0.00979940140974573,0.000480159216069721,-2.70758250436605,0.00580430996513591,0.011880595846655,0.00164268792960137,-2.70366439541523,0.00222385383763785,0.0109904570324067,0.00071489949001196
"11422-842",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0690519568516043,-2.69839363596631,0.00177669905383239,0.00975926923374695,0.000474375997998334,-2.6882448740996,0.00148000549673714,0.00926151962180363,0.00046176111082569,-2.69761818705928,0.0055804675505043,0.0104721663128604,0.0014931925705248,-2.69805514797937,0.00208272913846277,0.00992022926687025,0.000649703961912459
"11422-843",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0690435562071741,-2.69977890463074,0.001789384563119,0.0101885270109256,0.000478229136209806,-2.68861231092026,0.00147952012924139,0.00949554616273809,0.000464682563260877,-2.70764344376254,0.00545821474097476,0.0122062331328813,0.001396637284115,-2.70071776031122,0.00221308388750905,0.0103829295707166,0.000661794460090574
"11422-844",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0690304072286841,-2.69854611031212,0.00175765398389948,0.0102239270544273,0.000489629967517238,-2.68762122612403,0.00145653520041736,0.00959275884233812,0.000479853149923368,-2.69818130717256,0.00570112625652232,0.0104250078539069,0.00157098311557944,-2.69836248186785,0.00220983328379061,0.0101099866923438,0.000696181843488041
"11422-845",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0689131000439373,-2.69706975877776,0.00179976520183814,0.00878127076891475,0.000504181761307954,-2.68785579842168,0.00147951305921854,0.00829292505980849,0.000489491453738469,-2.6998643187444,0.0057762905008511,0.00893193979184617,0.00157349383457738,-2.69565028025025,0.00218685890191627,0.00824693389902244,0.00072266221720536
"11422-846",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0689324133157608,-2.69867546895762,0.00180261662205044,0.00924985960951819,0.000490561661838854,-2.68885711760935,0.00149301336778973,0.00865898815355671,0.000480086445562051,-2.69884142586298,0.00603057589480063,0.0124221022926719,0.00171080437934216,-2.70007869113391,0.00217169191724366,0.00972028226260474,0.000678408007933836
"11422-847",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0688004432723574,-2.6998255539956,0.00181802883805587,0.00951581976935172,0.000529374940671256,-2.6896079167511,0.00147543415478769,0.00886498289489933,0.000510911311659968,-2.70530166884221,0.00582988555947602,0.00983070192108882,0.00171633149470994,-2.69864868454882,0.00251432323222875,0.00887306866337249,0.000840746698261399
"11422-848",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0688523997274312,-2.70026796359587,0.00178622077039734,0.0096021591235818,0.000491340072707917,-2.69036782354263,0.00148033528124517,0.00916281202790763,0.00048059611225353,-2.70099213689302,0.00546182037232503,0.00951058363303235,0.00160606703233444,-2.69909692621631,0.00229686078977443,0.00917537400741815,0.0007007979913761
"11422-849",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0690682807588552,-2.6987480721351,0.00178523709493108,0.00996623870272848,0.00047817758661892,-2.68750264718871,0.00146982191376415,0.00922668892633011,0.000463972243442778,-2.70772646745459,0.00577114029018337,0.0104168912658079,0.00149167639532625,-2.69898192707952,0.00210197882723898,0.0101133812593642,0.000608643890688029
